GIS - Pengurusan Gunatanah Semasa bagi Hutan Pada Tahun 2010,,,,,,
,,,,,,
Bil.,No. Lot,Kampung,Gunatanah,Aktiviti,Kategori,Luas(hek)
1,6067,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.40500000000000003
2,5500,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,2.1989999999999998
3,5560,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.81399999999999995
4,2936,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.98499999999999999
5,5501,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.194
6,5561,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.4750000000000001
7,5833,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.29099999999999998
8,2907,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.49199999999999999
9,1764,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.7450000000000001
10,1765,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.96799999999999997
11,1766,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.752
12,1767,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.69399999999999995
13,1768,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.42
14,1769,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.374
15,1770,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.63400000000000001
16,1771,Kampung Ganggarak/Merinding,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.81399999999999995
17,1772,Kampung Ganggarak/Merinding,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.80900000000000005
18,1773,Kampung Ganggarak/Merinding,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.82499999999999996
19,1774,Kampung Ganggarak/Merinding,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.87
20,1775,Kampung Ganggarak/Merinding,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.76800000000000002
21,1070,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.7589999999999999
22,5819,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.95399999999999996
23,5821,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.50600000000000001
24,1745,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.36699999999999999
25,1746,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.252
26,1747,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.313
27,1748,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.25
28,1749,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.38500000000000001
29,1846,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.36699999999999999
30,9379,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,9.2999999999999999E-2
31,9380,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.33
32,1496,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.2609999999999999
33,5820,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.7430000000000001
34,6089,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.51300000000000001
35,1744,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.44900000000000001
36,3106,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.56100000000000005
37,2931,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.67100000000000004
38,9378,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.41499999999999998
39,4599,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.167
40,2935,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.92500000000000004
41,1696,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.60599999999999998
42,1697,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.86599999999999999
43,1706,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.77400000000000002
44,1776,Kampung Ganggarak/Merinding,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.81499999999999995
45,1777,Kampung Ganggarak/Merinding,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.79800000000000004
46,1778,Kampung Ganggarak/Merinding,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.83699999999999997
47,1779,Kampung Ganggarak/Merinding,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.434
48,7905,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,2.0870000000000002
49,1407,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.361
50,1895,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.81499999999999995
51,2896,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.627
52,2897,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.59299999999999997
53,2898,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.53
54,6547,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.96699999999999997
55,2932,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.60799999999999998
56,2933,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.60799999999999998
57,2934,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.92500000000000004
58,2356,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.51
59,2896,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.2769999999999999
60,8717,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,2.0870000000000002
61,4583,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,2.23
62,4584,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,2.5310000000000001
63,4585,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.8759999999999999
64,5502,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.0589999999999999
65,2906,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.49
66,1759,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.524
67,1760,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.53500000000000003
68,1761,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.90900000000000003
69,1762,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.1890000000000001
70,1763,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.8280000000000001
71,1780,Kampung Ganggarak/Merinding,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.357
72,1782,Kampung Ganggarak/Merinding,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.968
73,2750,Kampung Ganggarak/Merinding,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.1439999999999999
74,6067,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.104
75,1408,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,2.2450000000000001
76,2355,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.56799999999999995
77,1750,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.41399999999999998
78,1751,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.83799999999999997
79,9379,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.69399999999999995
80,2899,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.64300000000000002
81,9381,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.62
82,2354,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.47499999999999998
83,6128,Kampung Lajau,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.748
84,2908,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.76200000000000001
85,1694,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.51300000000000001
86,1694,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.329
87,1695,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.65900000000000003
88,5097,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,9.8000000000000004E-2
89,5098,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,9.8000000000000004E-2
90,1848,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.16200000000000001
91,1722,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,4.0000000000000001E-3
92,2018,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,11.919
93,1884,Kampung Ranca-Ranca,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,5.3710000000000004
94,147,Kampung Batu Arang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,5.2320000000000002
95,3187,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,13.005000000000001
96,5954,Kampung Sungai Buton,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.40899999999999997
97,5954,Kampung Sungai Buton,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.28000000000000003
98,5955,Kampung Sungai Buton,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.40799999999999997
99,5955,Kampung Sungai Buton,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.123
100,2744,Kampung Sungai Bangat,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.60699999999999998
101,2745,Kampung Sungai Bangat,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.34499999999999997
102,2922,Kampung Sungai Buton,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,20.190000000000001
103,2890,Kampung Sungai Buton,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,4.4269999999999996
104,2888,Kampung Sungai Buton,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.046
105,2887,Kampung Sungai Buton,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.876
106,2886,Kampung Sungai Buton,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.97499999999999998
107,2885,Kampung Sungai Buton,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.93500000000000005
108,2884,Kampung Sungai Buton,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.996
109,2883,Kampung Sungai Buton,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,2.1709999999999998
110,2883,Kampung Sungai Buton,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.956
111,2891,Kampung Sungai Buton,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.1479999999999999
112,2891,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.325
113,8143,Kampung Sungai Bangat,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.1379999999999999
114,8313,Kampung Sungai Bangat,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,4.8949999999999996
115,7605,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,2.8490000000000002
116,7606,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.59399999999999997
117,7606,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.86199999999999999
118,7606,Kampung Sungai Bangat,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,2.5680000000000001
119,9189,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,3.758
120,6512,Kampung Sungai Bangat,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.157
121,5505,Kampung Sungai Bangat,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,5.2069999999999999
122,8313,Kampung Sungai Bangat,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.95899999999999996
123,4701,Kampung Sungai Bangat,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,8.1440000000000001
124,5954,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,2.3420000000000001
125,2731,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,4.2789999999999999
126,2882,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,103.098
127,2882,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.0640000000000001
128,8142,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,15.305999999999999
129,6512,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,1.845
130,8260,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,25.158000000000001
131,8259,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,17.738
132,2891,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,13.352
133,8005,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,89.382000000000005
134,5117,Kampung Lubuk Temiang,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,17.041
135,8079,Kampung Sungai Keling,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,75.603999999999999
136,1784,Kampung Ganggarak/Merinding,Hutan,Hutan Tanah Lembab,Tidak Berkenaan,0.68300000000000005
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
