,,,,,,,,,,,,,,,
JENAYAH INDEK SELURUH MALAYSIA :,,,,,,,,,,,,,,,
Mengikut Tarikh Kertas Siasatan Dari 1/1/2009 Hingga 31/12/2009 ,,,,,,,,,,,,,,,
KESALAHAN,JOHOR ,KEDAH ,KELANTAN ,KUALA LUMPUR ,MELAKA ,NEGERI SEMBILAN ,PAHANG ,PERAK ,PERLIS ,PULAU PINANG ,SABAH ,SARAWAK ,SELANGOR ,TRNGGANU ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,,,,
BUNUH,74,33,8,64,12,14,24,54,2,52,69,50,139,6,601
ROGOL,656,378,314,153,105,209,226,254,44,179,258,207,684,173,3840
SAMUN BERKAWAN BERS/API,87,46,16,127,1,62,26,35,13,28,0,11,359,4,815
SAMUN BERKAWAN TANPA BERS/API,5028,534,122,6156,240,909,246,1257,8,1030,407,572,7127,86,23722
SAMUN BERSENJATAPI,11,8,9,35,1,19,3,6,3,6,0,1,51,2,155
SAMUN TANPA S/API,1374,321,52,942,89,194,61,218,5,307,128,149,979,43,4862
MENCEDERAKAN,1144,539,421,772,294,351,334,654,78,559,480,604,1999,141,8370
JUMLAH,8374,1859,942,8249,742,1758,920,2478,153,2161,1342,1594,11338,455,42365
JENAYAH HARTABENDA :,,,,,,,,,,,,,,,
CURI,4211,2422,868,7510,1523,1362,1707,2145,129,3485,2939,2918,8750,895,40864
CURI MOTOKAR,1755,526,775,3138,226,266,234,689,28,786,277,686,4624,212,14222
CURI MOTOSIKAL,8825,4958,2841,6286,1520,1871,2167,4628,398,6185,663,3036,15528,2488,61394
CURI VAN/LORI/J'BERAT,612,122,69,726,59,99,143,306,8,248,280,637,2177,38,5524
CURI RAGUT,99,540,391,3341,232,273,174,479,8,1189,336,485,2064,128,9739
PECAH RUMAH DAN CURI,3391,2502,1515,4531,1321,1918,1376,2043,93,2765,2249,3200,10513,1153,38570
JUMLAH,18893,11070,6459,25532,4881,5789,5801,10290,664,14658,6744,10962,43656,4914,170313
JUMLAH JENAYAH INDEKS,27267,12929,7401,33781,5623,7547,6721,12768,817,16819,8086,12556,54994,5369,212678
JUMLAH JENAYAH JALANAN,6501,1395,565,10439,561,1376,481,1954,21,2526,871,1206,10170,257,38323
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
JENAYAH INDEK SELURUH MALAYSIA :,,,,,,,,,,,,,,,
Mengikut Tarikh Kertas Siasatan Dari 1/1/2010 Hingga 31/12/2010 ,,,,,,,,,,,,,,,
KESALAHAN,JOHOR ,KEDAH ,KELANTAN ,KUALA LUMPUR ,MELAKA ,NEGERI SEMBILAN ,PAHANG ,PERAK ,PERLIS ,PULAU PINANG ,SABAH ,SARAWAK ,SELANGOR ,TRNGGANU ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,,,,
BUNUH,58,24,21,61,9,22,14,43,1,33,63,36,175,8,568
ROGOL,619,352,311,161,105,196,223,293,39,149,243,197,653,152,3693
SAMUN BERKAWAN BERS/API,142,103,38,100,7,157,96,13,6,67,1,6,1048,25,1809
SAMUN BERKAWAN TANPA BERS/API,2713,486,74,3931,266,837,163,1108,13,753,378,458,4566,63,15809
SAMUN BERSENJATAPI,23,20,13,21,1,21,18,2,5,21,0,1,152,11,309
SAMUN TANPA S/API,648,237,59,933,71,184,43,228,10,259,127,90,837,108,3834
MENCEDERAKAN,1026,492,386,969,263,276,304,548,72,593,402,596,2057,127,8111
JUMLAH,5229,1714,902,6176,722,1693,861,2235,146,1875,1214,1384,9488,494,34133
JENAYAH HARTABENDA :,,,,,,,,,,,,,,,
CURI,4356,2225,909,6186,1256,1164,1314,1986,282,2778,2705,2939,7459,847,36406
CURI MOTOKAR,1667,530,777,3482,253,308,247,660,16,464,234,462,6084,106,15290
CURI MOTOSIKAL,7812,4698,2776,5319,1875,1960,2196,4136,418,4282,751,3017,13769,1548,54557
CURI VAN/LORI/J'BERAT,538,109,125,753,68,152,123,192,6,143,295,554,1680,36,4774
CURI RAGUT,84,411,295,1897,122,55,101,244,58,835,144,398,1250,56,5950
PECAH RUMAH DAN CURI,2741,2035,1426,4682,1073,1484,1352,1911,163,2096,2337,3006,9739,1007,35052
JUMLAH,17198,10008,6308,22319,4647,5123,5333,9129,943,10598,6466,10376,39981,3600,152029
JUMLAH JENAYAH INDEKS,22427,11722,7210,28495,5369,6816,6194,11364,1089,12473,7680,11760,49469,4094,186162
JUMLAH JENAYAH JALANAN,3445,1134,428,6761,459,1076,307,1580,81,1847,649,946,6653,227,25593
,,,,,,,,,,,,,,,
JENAYAH INDEK SELURUH MALAYSIA :,,,,,,,,,,,,,,,
Mengikut Tarikh Kertas Siasatan Dari 1/1/2011 Hingga 31/12/2011 ,,,,,,,,,,,,,,,
KESALAHAN,JOHOR ,KEDAH ,KELANTAN ,KUALA LUMPUR ,MELAKA ,NEGERI SEMBILAN ,PAHANG ,PERAK ,PERLIS ,PULAU PINANG ,SABAH ,SARAWAK ,SELANGOR ,TRNGGANU ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,,,,
BUNUH,86,28,16,33,14,21,21,41,3,31,68,35,127,6,530
ROGOL,582,327,276,145,81,172,222,226,51,146,240,151,516,135,3270
SAMUN BERKAWAN BERS/API,9,16,9,15,3,9,8,8,2,12,2,13,211,1,318
SAMUN BERKAWAN TANPA BERS/API,2448,595,179,4238,246,884,166,1047,10,660,294,289,4942,86,16084
SAMUN BERSENJATAPI,1,9,3,9,1,5,3,1,0,1,0,0,19,0,52
SAMUN TANPA S/API,440,162,64,1211,106,252,69,229,10,204,112,78,838,96,3871
MENCEDERAKAN,862,498,323,741,171,252,271,533,66,358,324,531,1488,119,6537
JUMLAH,4428,1635,870,6392,622,1595,760,2085,142,1412,1040,1097,8141,443,30662
JENAYAH HARTABENDA :,,,,,,,,,,,,,,,
CURI,3811,2097,736,4497,1219,1240,1303,1784,310,1907,2324,2517,5941,816,30502
CURI MOTOKAR,2006,564,641,3326,183,347,301,616,28,647,288,500,6389,274,16110
CURI MOTOSIKAL,7571,4229,2575,5692,1624,1494,2092,3422,364,3776,741,2992,12957,1367,50896
CURI VAN/LORI/J'BERAT,480,104,71,664,40,96,111,153,5,142,233,694,1653,26,4472
CURI RAGUT,76,285,169,951,117,25,66,169,52,198,94,389,799,63,3453
PECAH RUMAH DAN CURI,2598,1753,1137,3480,1025,1253,1361,1640,212,1676,1897,2894,8422,852,30200
JUMLAH,16542,9032,5329,18610,4208,4455,5234,7784,971,8346,5577,9986,36161,3398,135633
JUMLAH JENAYAH INDEKS,20970,10667,6199,25002,4830,6050,5994,9869,1113,9758,6617,11083,44302,3841,166295
JUMLAH JENAYAH JALANAN,2964,1042,412,6400,469,1161,301,1445,72,1062,500,756,6579,245,23408
,,,,,,,,,,,,,,,
JENAYAH INDEK SELURUH MALAYSIA :,,,,,,,,,,,,,,,
Mengikut Tarikh Kertas Siasatan Dari 1/1/2012 Hingga 31/12/2012 ,,,,,,,,,,,,,,,
KESALAHAN,JOHOR ,KEDAH ,KELANTAN ,KUALA LUMPUR ,MELAKA ,NEGERI SEMBILAN ,PAHANG ,PERAK ,PERLIS ,PULAU PINANG ,SABAH ,SARAWAK ,SELANGOR ,TRNGGANU ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,,,,
BUNUH,80,29,17,46,14,27,20,41,1,47,61,46,166,7,602
ROGOL,504,291,237,138,97,170,216,188,42,123,224,163,421,150,2964
SAMUN BERKAWAN BERS/API,6,11,8,17,1,5,9,15,0,7,6,10,15,0,110
SAMUN BERKAWAN TANPA BERS/API,2031,613,155,4287,356,1010,275,1023,19,586,243,232,5812,96,16738
SAMUN BERSENJATAPI,0,1,3,3,0,1,1,0,0,2,4,0,2,0,17
SAMUN TANPA S/API,383,126,57,1049,109,153,67,170,13,174,107,97,701,69,3275
MENCEDERAKAN,838,469,340,749,170,334,254,481,83,344,358,538,1179,107,6244
JUMLAH,3842,1540,817,6289,747,1700,842,1918,158,1283,1003,1086,8296,429,29950
JENAYAH HARTABENDA :,,,,,,,,,,,,,,,
CURI,2910,1657,595,3910,888,1460,992,1185,251,1274,1695,2394,4437,651,24299
CURI MOTOKAR,1738,714,746,3359,211,330,302,664,26,671,472,897,5792,274,16196
CURI MOTOSIKAL,7731,4323,2646,5693,2004,1503,2176,3004,329,3601,864,2568,13285,1532,51259
CURI VAN/LORI/J'BERAT,590,95,82,549,64,122,169,159,6,168,192,539,1757,34,4526
CURI RAGUT,38,234,115,384,30,10,78,145,36,275,103,271,725,56,2500
PECAH RUMAH DAN CURI,2219,1537,1052,2838,820,1438,1060,1470,168,1127,1717,2627,6337,529,24939
JUMLAH,15226,8560,5236,16733,4017,4863,4777,6627,816,7116,5043,9296,32333,3076,123719
JUMLAH JENAYAH INDEKS,19068,10100,6053,23022,4764,6563,5619,8545,974,8399,6046,10382,40629,3505,153669
JUMLAH JENAYAH JALANAN,2452,973,327,5720,495,1173,420,1338,68,1035,453,600,7238,221,22513
,,,,,,,,,,,,,,,
JENAYAH INDEK SELURUH MALAYSIA :,,,,,,,,,,,,,,,
Mengikut Tarikh Kertas Siasatan Dari 1/1/2013 Hingga 31/12/2013 ,,,,,,,,,,,,,,,
KESALAHAN,JOHOR ,KEDAH ,KELANTAN ,KUALA LUMPUR ,MELAKA ,NEGERI SEMBILAN ,PAHANG ,PERAK ,PERLIS ,PULAU PINANG ,SABAH ,SARAWAK ,SELANGOR ,TRNGGANU ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,,,,
BUNUH,89,20,21,58,19,24,22,52,0,36,63,51,167,5,627
ROGOL,443,230,228,143,110,166,191,156,41,118,225,147,395,125,2718
SAMUN BERKAWAN BERS/API,6,7,7,14,2,12,6,4,2,6,4,10,17,1,98
SAMUN BERKAWAN TANPA BERS/API,1699,592,130,4589,365,711,269,841,22,729,246,268,6090,96,16647
SAMUN BERSENJATAPI,0,2,0,8,0,4,0,0,1,0,1,0,5,0,21
SAMUN TANPA S/API,326,128,59,1224,135,145,72,152,4,170,114,97,871,68,3565
MENCEDERAKAN,676,383,294,744,141,430,222,402,85,337,273,452,1108,152,5699
JUMLAH,3239,1362,739,6780,772,1492,782,1607,155,1396,926,1025,8653,447,29375
JENAYAH HARTABENDA :,,,,,,,,,,,,,,,
CURI,2322,1298,447,3391,696,1368,822,989,202,1089,1466,1730,5147,438,21405
CURI MOTOKAR,2188,558,746,3281,192,281,339,571,19,716,522,1239,5832,249,16733
CURI MOTOSIKAL,6754,3676,2668,5459,1766,1342,2219,2770,316,3365,978,3100,12653,2067,49133
CURI VAN/LORI/J'BERAT,776,85,137,688,64,106,179,164,4,211,158,317,2049,43,4981
CURI RAGUT,28,158,64,214,12,6,43,152,24,165,57,183,984,28,2118
PECAH RUMAH DAN CURI,1798,1499,936,2506,684,1398,873,1176,111,994,1665,1597,7742,338,23317
JUMLAH,13866,7274,4998,15539,3414,4501,4475,5822,676,6540,4846,8166,34407,3163,117687
JUMLAH JENAYAH INDEKS,17105,8636,5737,22319,4186,5993,5257,7429,831,7936,5772,9191,43060,3610,147062
JUMLAH KECURIAN KENDERAAN,9718,4319,3551,9428,2022,1729,2737,3505,339,4292,1658,4656,20534,2359,70847
JUMLAH KECURIAN KENDERAAN,2053,878,253,6027,512,862,384,1145,50,1064,417,548,7945,192,22330
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
JENAYAH INDEK SELURUH MALAYSIA :,,,,,,,,,,,,,,,
Mengikut Tarikh Kertas Siasatan Dari 1/01/2014 Hingga 31/12/2014 ,,,,,,,,,,,,,,,
KESALAHAN,JOHOR ,KEDAH ,KELANTAN ,KUALA LUMPUR ,MELAKA ,NEGERI SEMBILAN ,PAHANG ,PERAK ,PERLIS ,PULAU PINANG ,SABAH ,SARAWAK ,SELANGOR ,TERENG- GANU ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,,,,
BUNUH,70,24,15,43,11,25,24,32,2,53,52,41,109,9,510
ROGOL,306,245,206,139,65,135,150,127,36,93,220,138,317,112,2289
SAMUN BERKAWAN BERS/API,8,9,4,22,3,2,11,2,0,4,4,10,10,0,89
SAMUN BERKAWAN TANPA BERS/API,1491,515,173,3217,389,722,260,779,19,544,212,206,5063,81,13671
SAMUN BERSENJATAPI,1,1,2,9,0,0,1,1,0,1,1,1,5,0,23
SAMUN TANPA S/API,357,173,92,831,115,173,53,179,12,191,101,83,812,78,3250
MENCEDERAKAN,700,369,323,690,222,380,232,382,64,328,232,413,1086,179,5600
JUMLAH KEKERASAN,2933,1336,815,4951,805,1437,731,1502,133,1214,822,892,7402,459,25432
JENAYAH HARTABENDA :,,,,,,,,,,,,,,,
CURI,2216,1015,531,3133,570,1228,974,1021,163,1131,1236,1282,4675,489,19664
CURI MOTOKAR,1686,553,699,2481,198,208,292,442,20,640,327,916,4723,222,13407
CURI MOTOSIKAL,6052,3627,2283,4469,1523,1202,2106,2388,337,2969,1140,2680,10688,1561,43025
CURI VAN/LORI/J'BERAT,552,92,98,548,31,115,115,173,12,166,240,244,1648,42,4076
CURI RAGUT,40,100,76,593,5,16,71,133,26,245,68,140,845,21,2379
PECAH RUMAH DAN CURI,1603,1305,1101,2118,543,1289,796,1201,123,1126,1377,1402,6184,419,20587
JUMLAH HARTABENDA,12149,6692,4788,13342,2870,4058,4354,5358,681,6277,4388,6664,28763,2754,103138
JUMLAH JENAYAH INDEKS,15082,8028,5603,18293,3675,5495,5085,6860,814,7491,5210,7556,36165,3213,128570
JUMLAH KECURIAN KENDERAAN,8290,4272,3080,7498,1752,1525,2513,3003,369,3775,1707,3840,17059,1825,60508
JUMLAH JENAYAH JALANAN,1888,788,341,4641,509,911,384,1091,57,980,381,429,6720,180,19300
,,,,,,,,,,,,,,,
JENAYAH INDEK SELURUH MALAYSIA :,,,,,,,,,,,,,,,
Mengikut Tarikh Kertas Siasatan Dari 1/01/2015 Hingga 31/12/2015 ,,,,,,,,,,,,,,,
KESALAHAN,JOHOR ,KEDAH ,KELANTAN ,KUALA LUMPUR ,MELAKA ,NEGERI SEMBILAN ,PAHANG ,PERAK ,PERLIS ,PULAU PINANG ,SABAH ,SARAWAK ,SELANGOR ,TERENG- GANU ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,,,,
BUNUH,74,29,12,35,8,22,18,50,1,32,36,37,137,8,499
ROGOL,265,204,180,123,82,117,94,92,31,77,215,148,309,110,2047
SAMUN BERKAWAN BERS/API,4,3,1,16,2,2,2,8,0,5,3,10,5,1,62
SAMUN BERKAWAN TANPA BERS/API,1075,491,111,2115,208,700,256,601,18,573,167,194,4149,60,10718
SAMUN BERSENJATAPI,1,1,0,6,0,1,0,0,0,2,0,2,1,0,14
SAMUN TANPA S/API,344,181,63,652,94,174,57,165,7,199,89,100,765,64,2954
MENCEDERAKAN,650,402,277,725,192,263,250,372,85,324,263,362,1217,134,5516
JUMLAH KEKERASAN,2413,1311,644,3672,586,1279,677,1288,142,1212,773,853,6583,377,21810
JENAYAH HARTABENDA :,,,,,,,,,,,,,,,
CURI,1934,1105,493,2995,418,1008,727,966,92,969,1588,1178,4157,448,18078
CURI MOTOKAR,1592,575,735,2229,167,244,329,399,28,494,248,840,3932,237,12049
CURI MOTOSIKAL,5595,3120,2112,4015,1304,1167,1594,2203,358,2488,792,2778,9794,1245,38565
CURI VAN/LORI/J'BERAT,473,106,90,524,26,73,93,165,3,154,132,200,1326,30,3395
CURI RAGUT,33,101,64,604,2,18,42,73,16,231,99,108,950,21,2362
PECAH RUMAH DAN CURI,1440,1499,893,1907,445,998,795,1134,102,1150,1544,1273,5805,301,19286
JUMLAH HARTABENDA,11067,6506,4387,12274,2362,3508,3580,4940,599,5486,4403,6377,25964,2282,93735
JUMLAH JENAYAH INDEKS,13480,7817,5031,15946,2948,4787,4257,6228,741,6698,5176,7230,32547,2659,115545
JUMLAH KECURIAN KENDERAAN,7660,3801,2937,6768,1497,1484,2016,2767,389,3136,1172,3818,15052,1512,54009
JUMLAH JENAYAH JALANAN,1452,773,238,3371,304,892,355,839,41,1003,355,402,5864,145,16034
